timestamp,feature,window,correlation
2020-08-07T00:00:00.000000+0000,close,8,-0.5299076546643808
2020-09-07T00:00:00.000000+0000,close,8,-0.4576771790232982
2020-10-07T00:00:00.000000+0000,close,8,-0.4584112451289649
2020-11-07T00:00:00.000000+0000,close,8,0.02180828201981472
2020-12-07T00:00:00.000000+0000,close,8,0.23267167290090215
2021-01-07T00:00:00.000000+0000,close,8,0.9208644649612918
2021-02-07T00:00:00.000000+0000,close,8,0.8667684778329138
2021-03-07T00:00:00.000000+0000,close,8,0.5895624149083937
2021-04-07T00:00:00.000000+0000,close,8,0.2692591791888565
2021-05-07T00:00:00.000000+0000,close,8,-0.07485552771589331
2021-06-07T00:00:00.000000+0000,close,8,-0.152233020188595
2021-07-07T00:00:00.000000+0000,close,8,-0.11460191861044333
2021-08-07T00:00:00.000000+0000,close,8,-0.24030444960780128
2021-09-07T00:00:00.000000+0000,close,8,-0.13342427307231547
2021-10-07T00:00:00.000000+0000,close,8,0.23247307075464138
2021-11-07T00:00:00.000000+0000,close,8,0.25818712823926193
2021-12-07T00:00:00.000000+0000,close,8,0.26192582125570246
2022-01-07T00:00:00.000000+0000,close,8,0.34734165396622146
2022-02-07T00:00:00.000000+0000,close,8,0.13535382543300542
2022-03-07T00:00:00.000000+0000,close,8,0.349637784828885
2022-04-07T00:00:00.000000+0000,close,8,0.474784629968927
2022-05-07T00:00:00.000000+0000,close,8,0.4934042299147404
2022-06-07T00:00:00.000000+0000,close,8,0.15104817392837996
2022-07-07T00:00:00.000000+0000,close,8,-0.507949401792089
2022-08-07T00:00:00.000000+0000,close,8,-0.37361074677867556
2022-09-07T00:00:00.000000+0000,close,8,-0.14970218610424316
2022-10-07T00:00:00.000000+0000,close,8,-0.5921656506649831
2022-11-07T00:00:00.000000+0000,close,8,-0.4737715206717898
2022-12-07T00:00:00.000000+0000,close,8,-0.24007567956845974
2023-01-07T00:00:00.000000+0000,close,8,0.32234807453698694
2023-02-07T00:00:00.000000+0000,close,8,0.10956295752862812
2023-03-07T00:00:00.000000+0000,close,8,-0.41766504850611036
2023-04-07T00:00:00.000000+0000,close,8,-0.3643674631609612
2023-05-07T00:00:00.000000+0000,close,8,-0.19556254924615718
2023-06-07T00:00:00.000000+0000,close,8,-0.16931585025263404
2023-07-07T00:00:00.000000+0000,close,8,-0.0753980465629857
2023-08-07T00:00:00.000000+0000,close,8,-0.049935705630225306
2023-09-07T00:00:00.000000+0000,close,8,0.577332399472485
2023-10-07T00:00:00.000000+0000,close,8,0.617744592320642
2023-11-07T00:00:00.000000+0000,close,8,-0.004892742140552069
2023-12-07T00:00:00.000000+0000,close,8,0.8200927678660057
2024-01-07T00:00:00.000000+0000,close,8,0.5576561940560062
2024-02-07T00:00:00.000000+0000,close,8,0.5022884510583033
2024-03-07T00:00:00.000000+0000,close,8,0.5689873521264993
2024-04-07T00:00:00.000000+0000,close,8,0.19746796926610857
2024-05-07T00:00:00.000000+0000,close,8,0.25816036954693333
2024-06-07T00:00:00.000000+0000,close,8,0.04327250875816705
2024-07-07T00:00:00.000000+0000,close,8,-0.08193279125837571
2024-08-07T00:00:00.000000+0000,close,8,0.26307087430819676
2024-09-07T00:00:00.000000+0000,close,8,0.36678862514964267
2024-10-07T00:00:00.000000+0000,close,8,0.7358019783322662
2024-11-07T00:00:00.000000+0000,close,8,0.7842855847395072
2024-12-07T00:00:00.000000+0000,close,8,0.5446738387449015
2025-01-07T00:00:00.000000+0000,close,8,0.632168944950407
2025-02-07T00:00:00.000000+0000,close,8,0.5517743619120495
2025-03-07T00:00:00.000000+0000,close,8,0.4767915028233925
2025-04-07T00:00:00.000000+0000,close,8,0.16658743838927292
2025-05-07T00:00:00.000000+0000,close,8,-0.16790077333012013
2025-06-07T00:00:00.000000+0000,close,8,-0.13277757567486662
2025-07-07T00:00:00.000000+0000,close,8,0.6493076473928154
2025-08-07T00:00:00.000000+0000,close,8,0.717483156272924
2025-09-07T00:00:00.000000+0000,close,8,0.7834655293190175
2025-10-07T00:00:00.000000+0000,close,8,0.8040008890373368
2025-11-07T00:00:00.000000+0000,close,8,0.7839358264866467
2025-12-07T00:00:00.000000+0000,close,8,0.09607212662952999
2026-01-07T00:00:00.000000+0000,close,8,-0.032470540276465995
2026-02-07T00:00:00.000000+0000,close,8,0.5797325188834268
2021-04-07T00:00:00.000000+0000,close,16,0.20578492863420228
2021-05-07T00:00:00.000000+0000,close,16,0.15548330836333604
2021-06-07T00:00:00.000000+0000,close,16,0.11154873659261332
2021-07-07T00:00:00.000000+0000,close,16,0.10961281674234298
2021-08-07T00:00:00.000000+0000,close,16,0.19041208900381945
2021-09-07T00:00:00.000000+0000,close,16,0.21228613001395993
2021-10-07T00:00:00.000000+0000,close,16,0.22463329309314642
2021-11-07T00:00:00.000000+0000,close,16,0.19691471682035877
2021-12-07T00:00:00.000000+0000,close,16,0.09501590364224953
2022-01-07T00:00:00.000000+0000,close,16,-0.08208163213543862
2022-02-07T00:00:00.000000+0000,close,16,-0.12634575599030268
2022-03-07T00:00:00.000000+0000,close,16,-0.028230081742105027
2022-04-07T00:00:00.000000+0000,close,16,-0.02863664080636992
2022-05-07T00:00:00.000000+0000,close,16,0.19667048905924328
2022-06-07T00:00:00.000000+0000,close,16,0.2299840496036414
2022-07-07T00:00:00.000000+0000,close,16,-0.02768160730127001
2022-08-07T00:00:00.000000+0000,close,16,0.010237669495517809
2022-09-07T00:00:00.000000+0000,close,16,0.05550122538673583
2022-10-07T00:00:00.000000+0000,close,16,0.012373875165302726
2022-11-07T00:00:00.000000+0000,close,16,0.0073143809240065315
2022-12-07T00:00:00.000000+0000,close,16,-0.04294061839169206
2023-01-07T00:00:00.000000+0000,close,16,-0.0448269138188501
2023-02-07T00:00:00.000000+0000,close,16,-0.2073803716668517
2023-03-07T00:00:00.000000+0000,close,16,-0.3657475712729678
2023-04-07T00:00:00.000000+0000,close,16,-0.25014437290162356
2023-05-07T00:00:00.000000+0000,close,16,-0.11014628456827198
2023-06-07T00:00:00.000000+0000,close,16,-0.5114181700040104
2023-07-07T00:00:00.000000+0000,close,16,-0.35930008940346797
2023-08-07T00:00:00.000000+0000,close,16,-0.23032407162940205
2023-09-07T00:00:00.000000+0000,close,16,0.016115358702333556
2023-10-07T00:00:00.000000+0000,close,16,-0.11014101250362703
2023-11-07T00:00:00.000000+0000,close,16,0.05127854082823782
2023-12-07T00:00:00.000000+0000,close,16,0.5738041343253545
2024-01-07T00:00:00.000000+0000,close,16,0.42382416937478784
2024-02-07T00:00:00.000000+0000,close,16,0.4853370111930359
2024-03-07T00:00:00.000000+0000,close,16,0.6197779365083408
2024-04-07T00:00:00.000000+0000,close,16,0.4470365066286245
2024-05-07T00:00:00.000000+0000,close,16,0.5750700916561189
2024-06-07T00:00:00.000000+0000,close,16,0.5261377181645567
2024-07-07T00:00:00.000000+0000,close,16,0.21122376216605615
2024-08-07T00:00:00.000000+0000,close,16,0.02750550463526756
2024-09-07T00:00:00.000000+0000,close,16,0.012445765688700696
2024-10-07T00:00:00.000000+0000,close,16,0.014716334660446476
2024-11-07T00:00:00.000000+0000,close,16,0.13754675531724628
2024-12-07T00:00:00.000000+0000,close,16,0.13310200532087985
2025-01-07T00:00:00.000000+0000,close,16,0.1715972470955266
2025-02-07T00:00:00.000000+0000,close,16,0.07744169850299064
2025-03-07T00:00:00.000000+0000,close,16,0.07223506546879281
2025-04-07T00:00:00.000000+0000,close,16,0.20441909656865356
2025-05-07T00:00:00.000000+0000,close,16,0.21935363975649258
2025-06-07T00:00:00.000000+0000,close,16,0.2873245370193957
2025-07-07T00:00:00.000000+0000,close,16,0.37767362433288126
2025-08-07T00:00:00.000000+0000,close,16,0.41633564331798767
2025-09-07T00:00:00.000000+0000,close,16,0.5447997510993677
2025-10-07T00:00:00.000000+0000,close,16,0.5954490745008247
2025-11-07T00:00:00.000000+0000,close,16,0.4570769612276241
2025-12-07T00:00:00.000000+0000,close,16,0.19111010835643527
2026-01-07T00:00:00.000000+0000,close,16,-0.04339625210046386
2026-02-07T00:00:00.000000+0000,close,16,0.28697848575787893
2022-02-07T00:00:00.000000+0000,close,26,-0.012575478447445327
2022-03-07T00:00:00.000000+0000,close,26,0.010049225900143571
2022-04-07T00:00:00.000000+0000,close,26,0.0016406861808149738
2022-05-07T00:00:00.000000+0000,close,26,0.009083895163375762
2022-06-07T00:00:00.000000+0000,close,26,0.04930279751502702
2022-07-07T00:00:00.000000+0000,close,26,0.07894032729001521
2022-08-07T00:00:00.000000+0000,close,26,0.05652673862655413
2022-09-07T00:00:00.000000+0000,close,26,0.07286425843687944
2022-10-07T00:00:00.000000+0000,close,26,0.059755644940082245
2022-11-07T00:00:00.000000+0000,close,26,-0.03314789023716126
2022-12-07T00:00:00.000000+0000,close,26,-0.03005351943993834
2023-01-07T00:00:00.000000+0000,close,26,0.005771019325590897
2023-02-07T00:00:00.000000+0000,close,26,0.021690109275379028
2023-03-07T00:00:00.000000+0000,close,26,0.03068577830750157
2023-04-07T00:00:00.000000+0000,close,26,0.020569595230193305
2023-05-07T00:00:00.000000+0000,close,26,-0.009003715743919134
2023-06-07T00:00:00.000000+0000,close,26,0.03137890651333575
2023-07-07T00:00:00.000000+0000,close,26,0.03428849430650598
2023-08-07T00:00:00.000000+0000,close,26,0.039133420450759605
2023-09-07T00:00:00.000000+0000,close,26,0.032080520774725875
2023-10-07T00:00:00.000000+0000,close,26,-0.03780666787047368
2023-11-07T00:00:00.000000+0000,close,26,-0.012629779203295359
2023-12-07T00:00:00.000000+0000,close,26,-0.08102905294384428
2024-01-07T00:00:00.000000+0000,close,26,-0.18609211575596943
2024-02-07T00:00:00.000000+0000,close,26,-0.021963258855880997
2024-03-07T00:00:00.000000+0000,close,26,0.21178499222630937
2024-04-07T00:00:00.000000+0000,close,26,0.09966126788052948
2024-05-07T00:00:00.000000+0000,close,26,0.2612375827013339
2024-06-07T00:00:00.000000+0000,close,26,0.31235672075069104
2024-07-07T00:00:00.000000+0000,close,26,0.16365624136431559
2024-08-07T00:00:00.000000+0000,close,26,0.012982019790233527
2024-09-07T00:00:00.000000+0000,close,26,0.05091412112335942
2024-10-07T00:00:00.000000+0000,close,26,0.07734116091738957
2024-11-07T00:00:00.000000+0000,close,26,0.16795632328259535
2024-12-07T00:00:00.000000+0000,close,26,0.20299454473938275
2025-01-07T00:00:00.000000+0000,close,26,0.22766290326812352
2025-02-07T00:00:00.000000+0000,close,26,0.15043800064276358
2025-03-07T00:00:00.000000+0000,close,26,0.17632211906006992
2025-04-07T00:00:00.000000+0000,close,26,0.10908869112546665
2025-05-07T00:00:00.000000+0000,close,26,0.060800345257868635
2025-06-07T00:00:00.000000+0000,close,26,0.041902150888294874
2025-07-07T00:00:00.000000+0000,close,26,0.07751218149604755
2025-08-07T00:00:00.000000+0000,close,26,0.09870607856734619
2025-09-07T00:00:00.000000+0000,close,26,0.09963549918610859
2025-10-07T00:00:00.000000+0000,close,26,0.09642739505457766
2025-11-07T00:00:00.000000+0000,close,26,0.06670249938940508
2025-12-07T00:00:00.000000+0000,close,26,0.07819174510326024
2026-01-07T00:00:00.000000+0000,close,26,0.08294976983727388
2026-02-07T00:00:00.000000+0000,close,26,0.2564415113644504
2020-08-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.18194462599458103
2020-09-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.78077763422323
2020-10-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.8278884948411916
2020-11-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.7070234250595423
2020-12-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.44169793829530046
2021-01-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.9185015000566555
2021-02-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.8657683572252206
2021-03-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.8258329174956218
2021-04-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.6974050494079514
2021-05-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.4594709891103662
2021-06-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.4615292183203998
2021-07-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.618786437051325
2021-08-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.45282594573909296
2021-09-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.25193074590849557
2021-10-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.34245696358440275
2021-11-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.3924959585671285
2021-12-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.15780357253418634
2022-01-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.3766196577492242
2022-02-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.23508519161037317
2022-03-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.03856295580718105
2022-04-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.2428261640773478
2022-05-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.20225709358151922
2022-06-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.2559490554592301
2022-07-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.036424212186623776
2022-08-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.026034549750276605
2022-09-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.2921238883815459
2022-10-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.11337585193833238
2022-11-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.1919574348717096
2022-12-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.16033766951193837
2023-01-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.5063523935036016
2023-02-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.7063619777592931
2023-03-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.017393891043139195
2023-04-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.019936317629879817
2023-05-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.0791759886957563
2023-06-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.05172837879148802
2023-07-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.3472724726821181
2023-08-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.30531126974396067
2023-09-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.8021571972691005
2023-10-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.7925956363694595
2023-11-07T00:00:00.000000+0000,signal_trends_bitcoin,8,-0.5727153925972494
2023-12-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.7761907939271848
2024-01-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.3483493830893052
2024-02-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.3424567519158315
2024-03-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.48078430700673774
2024-04-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.3096570667865133
2024-05-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.2314790895548225
2024-06-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.1521242661964549
2024-07-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.24089431023148142
2024-08-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.4271774625847949
2024-09-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.4583421276594217
2024-10-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.3677568489844023
2024-11-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.45607333838560443
2024-12-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.46928801840885526
2025-01-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.5781959226240694
2025-02-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.6735078630836299
2025-03-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.6358027439325367
2025-04-07T00:00:00.000000+0000,signal_trends_bitcoin,8,0.6866823692868564
