feature,pearson,pearson_p,spearman,spearman_p,n_obs,n_effective,pearson_p_bh,spearman_p_bh,pearson_significant_bh,spearman_significant_bh
close,-0.0391197699115102,0.3387678190262635,-0.028937913716426986,0.47925503515140133,600,600,0.7441439601978126,0.88293902875924,false,false
signal_macro,0.015105184951037633,0.7119418005006651,-0.015602432228978414,0.7029018453501709,600,600,0.7441439601978126,0.88293902875924,false,false
signal_sentiment,-0.017610661832914213,0.6668281932028672,-0.009107191964422123,0.8238319275924214,600,600,0.7441439601978126,0.88293902875924,false,false
signal_web,0.013351272909428072,0.7441439601978126,0.006023738954830429,0.88293902875924,600,600,0.7441439601978126,0.88293902875924,false,false
