feature,best_lag,best_corr,best_abs_corr,best_p,lead_lag,n_obs,n_effective
close,-5,0.1250772748364749,0.1250772748364749,0.0022389414568137842,target_leads,595,595
signal_macro,-3,-0.037761398608164805,0.037761398608164805,0.3570289708848277,target_leads,597,597
signal_sentiment,1,0.050518639008061375,0.050518639008061375,0.21697083737675202,feature_leads,599,599
signal_web,3,0.9708749888635192,0.9708749888635192,0.0,feature_leads,597,597
