metric_mode,split_label,timerange,w_social,trades,winrate,pf_base,maxdd_base,proxy_score_base,pf,profit_pct,maxdd,proxy_score,delta_proxy_score,uplift_vs_base_pf,uplift_vs_base_profit_pct,social_coverage,social_diversity,social_hype_risk,split_rows,source_dominance_share,token_mapping_rate,active_hour_ratio,author_dominance_share,kol_coverage,kol_top1_share
proxy_structural_no_new_backtest,WF_E_TEST,20250401-20250731,0.2,7,57.14285714285714,3.44041,0.051341,3.272402,3.44041,0.151919,0.051341,3.272402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_E_TEST,20250401-20250731,0.3,7,57.14285714285714,3.44041,0.051341,3.272402,3.44041,0.151919,0.051341,3.272402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_F_TEST,20250701-20251031,0.0,7,71.42857142857143,3.490717,0.048489,3.329283,3.490717,0.173742,0.048489,3.329283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_F_TEST,20250701-20251031,0.05,7,71.42857142857143,3.490717,0.048489,3.329283,3.490717,0.173742,0.048489,3.329283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_F_TEST,20250701-20251031,0.1,7,71.42857142857143,3.490717,0.048489,3.329283,3.490717,0.173742,0.048489,3.329283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_F_TEST,20250701-20251031,0.2,7,71.42857142857143,3.490717,0.048489,3.329283,3.490717,0.173742,0.048489,3.329283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_F_TEST,20250701-20251031,0.3,7,71.42857142857143,3.490717,0.048489,3.329283,3.490717,0.173742,0.048489,3.329283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_G_TEST,20250115-20250515,0.0,8,12.5,0.201608,0.171244,0.172132,0.201608,-0.13672,0.171244,0.172132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_G_TEST,20250115-20250515,0.05,8,12.5,0.201608,0.171244,0.172132,0.201608,-0.13672,0.171244,0.172132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_G_TEST,20250115-20250515,0.1,8,12.5,0.201608,0.171244,0.172132,0.201608,-0.13672,0.171244,0.172132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
