feature,pearson,pearson_p,spearman,spearman_p,n_obs,n_effective,pearson_p_bh,spearman_p_bh,pearson_significant_bh,spearman_significant_bh
close,-0.022497442637688558,0.21961395059265978,-0.030714846397174523,0.09371570448548885,2979,2979,0.3031264157830712,0.1540879674392068,false,false
high,-0.021352003809080713,0.24400252105422168,-0.028628717176367096,0.11823476320500631,2979,2979,0.3031264157830712,0.1540879674392068,false,false
log_returns_1d,0.9980635396793285,0.0,1.0,0.0,2979,2979,0.0,0.0,true,true
low,-0.021922723449243252,0.2316229838765642,-0.02949360439504993,0.10751976920634773,2979,2979,0.3031264157830712,0.1540879674392068,false,false
open,-0.020967279237342863,0.25260534648589267,-0.02786281275439814,0.12840663953267234,2979,2979,0.3031264157830712,0.1540879674392068,false,false
volume,0.003308579802031107,0.856754004509678,0.0011710070974144911,0.9490601886757505,2979,2979,0.856754004509678,0.9490601886757505,false,false
