feature,pearson,pearson_p,spearman,spearman_p,n_obs,n_effective,pearson_p_bh,spearman_p_bh,pearson_significant_bh,spearman_significant_bh
close,-0.022497442637688558,0.21961395059265978,-0.030714846397174523,0.09371570448548885,2979,2979,0.3157566831073658,0.16050829941584044,false,false
high,-0.021352003809080713,0.24400252105422168,-0.028628717176367096,0.11823476320500631,2979,2979,0.3157566831073658,0.16050829941584044,false,false
low,-0.021922723449243252,0.2316229838765642,-0.02949360439504993,0.10751976920634773,2979,2979,0.3157566831073658,0.16050829941584044,false,false
open,-0.020967279237342863,0.25260534648589267,-0.02786281275439814,0.12840663953267234,2979,2979,0.3157566831073658,0.16050829941584044,false,false
volume,0.003308579802031107,0.856754004509678,0.0011710070974144911,0.9490601886757505,2979,2979,0.8567540045096781,0.9490601886757505,false,false
