feature,mutual_information,n_obs,n_effective
close,0.026825475350263694,2979,2979
high,0.02223371091945836,2979,2979
low,0.02410248099187573,2979,2979
open,0.01406857031096198,2979,2979
volume,0.03143061588497709,2979,2979
