timestamp,feature,window,correlation
2024-01-05T00:00:00.000000+0000,close,5,-0.3386141265222818
2024-01-06T00:00:00.000000+0000,close,5,-0.46458572068236853
2024-01-07T00:00:00.000000+0000,close,5,-0.7563341572810865
2024-01-08T00:00:00.000000+0000,close,5,-0.7599294563208712
2024-01-09T00:00:00.000000+0000,close,5,-0.0909307648067532
2024-01-10T00:00:00.000000+0000,close,5,-0.05262213555518585
2024-01-11T00:00:00.000000+0000,close,5,-0.18698957705306218
2024-01-12T00:00:00.000000+0000,close,5,-0.17375558849367095
2024-01-13T00:00:00.000000+0000,close,5,-0.04443204286129889
2024-01-14T00:00:00.000000+0000,close,5,-0.5898236894840871
2024-01-15T00:00:00.000000+0000,close,5,-0.7276338734398986
2024-01-16T00:00:00.000000+0000,close,5,-0.9354723992939205
2024-01-17T00:00:00.000000+0000,close,5,-0.6523618324226746
2024-01-18T00:00:00.000000+0000,close,5,-0.8256952172503669
2024-01-19T00:00:00.000000+0000,close,5,-0.8352899857728314
2024-01-20T00:00:00.000000+0000,close,5,-0.390553291636702
2024-01-21T00:00:00.000000+0000,close,5,-0.46120316499090835
2024-01-22T00:00:00.000000+0000,close,5,-0.591407302667584
2024-01-23T00:00:00.000000+0000,close,5,-0.8637416600311832
2024-01-24T00:00:00.000000+0000,close,5,0.5285906760978598
2024-01-25T00:00:00.000000+0000,close,5,0.26640954398758615
2024-01-26T00:00:00.000000+0000,close,5,-0.4743197838584143
2024-01-27T00:00:00.000000+0000,close,5,-0.9950005571509769
2024-01-28T00:00:00.000000+0000,close,5,-0.8998476569793445
2024-01-29T00:00:00.000000+0000,close,5,-0.8662720084077952
2024-01-30T00:00:00.000000+0000,close,5,-0.517076340961967
2024-01-31T00:00:00.000000+0000,close,5,0.603528210040629
2024-02-01T00:00:00.000000+0000,close,5,-0.2101626934866967
2024-02-02T00:00:00.000000+0000,close,5,-0.523530026630051
2024-02-03T00:00:00.000000+0000,close,5,-0.7844893361119527
2024-02-04T00:00:00.000000+0000,close,5,-0.5712070772334592
2024-02-05T00:00:00.000000+0000,close,5,-0.14601490919945775
2024-02-06T00:00:00.000000+0000,close,5,0.2606294130489614
2024-02-07T00:00:00.000000+0000,close,5,-0.5014260095269981
2024-02-08T00:00:00.000000+0000,close,5,-0.8185247524461536
2024-02-09T00:00:00.000000+0000,close,5,-0.7273202423444861
2024-02-10T00:00:00.000000+0000,close,5,-0.9296808637118665
2024-02-11T00:00:00.000000+0000,close,5,-0.45725182075668047
2024-02-12T00:00:00.000000+0000,close,5,-0.7619602184303907
2024-02-13T00:00:00.000000+0000,close,5,-0.5960079399959345
2024-02-14T00:00:00.000000+0000,close,5,-0.6125538517088105
2024-02-15T00:00:00.000000+0000,close,5,-0.4097170702831608
2024-02-16T00:00:00.000000+0000,close,5,-0.5467916105946321
2024-02-17T00:00:00.000000+0000,close,5,-0.6668220440977167
2024-02-18T00:00:00.000000+0000,close,5,-0.6374252801603031
2024-02-19T00:00:00.000000+0000,close,5,-0.5555865269302376
2024-02-20T00:00:00.000000+0000,close,5,-0.3848501074027058
2024-02-21T00:00:00.000000+0000,close,5,-0.5892651997126993
2024-02-22T00:00:00.000000+0000,close,5,-0.7090695738893
2024-02-23T00:00:00.000000+0000,close,5,-0.7240116450445802
2024-02-24T00:00:00.000000+0000,close,5,-0.867393329007356
2024-02-25T00:00:00.000000+0000,close,5,-0.6969763346479555
2024-02-26T00:00:00.000000+0000,close,5,-0.5690265864961702
2024-02-27T00:00:00.000000+0000,close,5,-0.4235685980713186
