experiment_id,created_at,strategy_name,timeframe,universe_label,timerange,trades,profit_total_pct,profit_factor,max_drawdown_pct,status,split_label,idea_spec_id,robustness_score,robustness_flags,notes_short
20260220T150748Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:07:48+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250101-20260201,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,success,,,,,PF>1 low trades; pairs=15
20260220T150749Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:07:49+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20251001-20260201,9,0.29654948200000003,11.73846559859274,0.027611884338650566,success,WF5_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150749Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-base,2026-02-20T15:07:49+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_base,20250101-20260201,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,success,,,,,PF>1 low trades; pairs=15
20260220T150749Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-p50,2026-02-20T15:07:49+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_p50,20250101-20260201,27,0.025078504,1.0648121831823227,0.28173773400000074,success,,,,,PF>1 low trades; pairs=15
20260220T150810Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:10+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250201-20250531,11,0.002828138999999996,1.0186878048566783,0.13055290099999864,success,WF1_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150810Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:10+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250201-20250531,12,-0.052027460999999976,0.7476742865362949,0.1854085009999949,success,WF1_TEST,,,,PF<1; OOS fail; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250401-20250731,12,0.073494751,1.5224435567293062,0.0743400700000052,success,WF2_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250401-20250731,12,0.073494751,1.5224435567293062,0.0743400700000052,success,WF2_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250601-20250930,5,0.134363751,3.949693628775965,0.045551765000004706,success,WF3_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250601-20250930,8,0.084542069,1.5448070819217712,0.08340514870044786,success,WF3_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250801-20251130,5,0.16222588000000002,8.628056613532705,0.021238652400239585,success,WF4_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250801-20251130,8,0.11240419800000001,1.8587472444238846,0.0834171966720993,success,WF4_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20251001-20260201,6,0.18295356599999998,9.60269741853576,0.02126411620861697,success,WF5_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20251001-20260201,9,0.29654948200000003,11.73846559859274,0.027611884338650566,success,WF5_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250301-20250630,12,-0.018656114000000005,0.89204907529222,0.13055290099999864,success,WF6_TEST,,,,PF<1; OOS fail; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250301-20250630,13,-0.07351171399999998,0.6771212692904564,0.1854085009999949,success,WF6_TEST,,,,PF<1; OOS fail; pairs=19
20260220T153233Z_strat03rsibbmeanreversion-v3c_3h_top15-mr3h-effective,2026-02-20T15:32:33+00:00,Strat03RSIBBMeanReversion_v3c,3h,top15_mr3h_effective,20250101-20260201,0,0.0,,0.0,success,,,,,PF missing; pairs=13
