profile,symbol,rank,score,score_volume,score_atr,score_cleanliness,score_reversion,score_completeness,quote_volume,atr_pct,atr_target_score,wickiness,data_completeness,reversion_score,reversion_events,reversion_hit_rate,age_days,normalized_volume,normalized_atr_pct,normalized_wickiness,excluded_reason
universal,BTC/USDT,1,0.21648218762278781,1.0,0.36880255892199126,0.5869866745381718,0.0,1.0,1690256765.8443937,0.007060193357867692,0.8868900960190449,0.5493715382345946,1.0,0.275,40,0.275,539.6017356828704,1.0,0.36880255892199126,0.4130133254618283,
universal,ETH/USDT,2,0.06393968566062402,0.3828430183300853,0.5241635272125563,0.31862728802546736,0.0,1.0,654086964.174311,0.009935008958266671,0.9999413373386992,0.57517363170858,1.0,0.3111111111111111,45,0.3111111111111111,539.6017356828704,0.3828430183300853,0.5241635272125563,0.6813727119745326,
universal,SOL/USDT,3,0.03719243962393467,0.1540941782788852,0.5772086711489325,0.41815335797423936,0.0,1.0,270031290.71053,0.010916561847590189,0.988399949619265,0.5656044454271266,1.0,0.24489795918367346,49,0.24489795918367346,539.6017356828704,0.1540941782788852,0.5772086711489325,0.5818466420257606,
universal,XRP/USDT,4,0.02150193956973029,0.08073297223287601,0.5707088058726596,0.46667240557259937,0.0,1.0,146862196.66044,0.01079628766095038,0.9912320805014198,0.5609394586060215,1.0,0.3137254901960784,51,0.3137254901960784,539.6017356828704,0.08073297223287601,0.5707088058726596,0.5333275944274006,
universal,BNB/USDT,5,0.009312479663220434,0.039298449151624414,0.3864126305310814,0.6132514895209887,0.0,1.0,77296101.09878,0.007386051964073546,0.9094648320733261,0.5468462410200271,1.0,0.2916666666666667,48,0.2916666666666667,539.6017356828704,0.039298449151624414,0.3864126305310814,0.38674851047901126,
universal,PAXG/USDT,6,0.008954273032523528,0.04146383033919538,0.2401488568374699,0.8992498835711839,0.0,1.0,80931647.098105,0.004679571803617727,0.6749260367184947,0.5193482004536558,1.0,0.18421052631578946,38,0.18421052631578946,539.6017356828704,0.04146383033919538,0.2401488568374699,0.10075011642881612,
universal,BIO/USDT,7,0.006016705422036114,0.010204978414031054,0.9549406212935991,0.6174052111281267,0.0,1.0,28449897.13541,0.01790615334533424,0.41972464120731257,0.5464468709269403,1.0,0.18867924528301888,53,0.18867924528301888,413.60173568287036,0.010204978414031054,0.9549406212935991,0.38259478887187326,
universal,DOGE/USDT,8,0.005978152324579989,0.03194601623853787,0.6106603941178758,0.306443571321811,0.0,1.0,64951804.29972,0.011535556026819844,0.9677813842953177,0.576345066035262,1.0,0.2711864406779661,59,0.2711864406779661,539.6017356828704,0.03194601623853787,0.6106603941178758,0.693556428678189,
universal,TRX/USDT,9,0.004560322935234966,0.02873392440727836,0.15870867030191765,1.0,0.0,1.0,59558893.49324,0.0031725940773079018,0.5233999794026654,0.5096613251205727,1.0,0.24444444444444444,45,0.24444444444444444,539.6017356828704,0.02873392440727836,0.15870867030191765,0.0,
universal,ZEC/USDT,10,0.003917397985089071,0.012823911913354354,1.0,0.30547605220288787,0.0,1.0,32846930.44327,0.01873993679992226,0.34613599037739035,0.5764380906134917,1.0,0.21818181818181817,55,0.21818181818181817,539.6017356828704,0.012823911913354354,1.0,0.6945239477971121,
universal,OP/USDT,11,0.003547360214918042,0.007567506579996488,0.783915587580423,0.5979752148422206,0.0,1.0,24021739.068094,0.014741488240660981,0.731801495762714,0.5483150171724767,1.0,0.36538461538461536,52,0.36538461538461536,539.6017356828704,0.007567506579996488,0.783915587580423,0.40202478515777945,
universal,SUI/USDT,12,0.0034003712111037396,0.01082977931266268,0.7225508114427275,0.4345485756834717,0.0,1.0,29498900.61823,0.013605988007258076,0.8347697850026224,0.5640280856606315,1.0,0.32,50,0.32,539.6017356828704,0.01082977931266268,0.7225508114427275,0.5654514243165283,
universal,ARB/USDT,13,0.0029308024876277144,0.006931812400726584,0.6947622542173902,0.6085601849365323,0.0,1.0,22954446.41611,0.013091785639037958,0.8756701398557649,0.5472972983911742,1.0,0.3,50,0.3,539.6017356828704,0.006931812400726584,0.6947622542173902,0.3914398150634677,
universal,ENA/USDT,14,0.001624527316425109,0.0041326092945493794,0.7646895007388934,0.5140644163593403,0.0,1.0,18254751.178905,0.014385726719637998,0.7655603677999545,0.5563828335960678,1.0,0.22580645161290322,62,0.22580645161290322,539.6017356828704,0.0041326092945493794,0.7646895007388934,0.4859355836406597,
universal,AVAX/USDT,15,0.0015339898763290334,0.010514245221343222,0.5826443780017465,0.2504037517055535,0.0,1.0,28969137.6786,0.011017144735503448,0.9857335303798493,0.5817331565462511,1.0,0.3125,48,0.3125,539.6017356828704,0.010514245221343222,0.5826443780017465,0.7495962482944465,
universal,BCH/USDT,16,0.001452007435921083,0.00587110445190275,0.5362587149600341,0.46118446577664773,0.0,1.0,21173580.9676,0.010158819576910422,0.9996497327744206,0.5614671104889492,1.0,0.2222222222222222,54,0.2222222222222222,539.6017356828704,0.00587110445190275,0.5362587149600341,0.5388155342233523,
universal,TRUMP/USDT,17,0.0012971330376166923,0.005552840516025434,0.5220544119803253,0.4474593116497847,0.0,1.0,20639234.781603,0.009895981669499282,0.9998497361090807,0.5627867502240378,1.0,0.23076923076923078,52,0.23076923076923078,397.60173568287036,0.005552840516025434,0.5220544119803253,0.5525406883502153,
universal,SNX/USDT,18,0.0012811880871586123,0.0019952043490033813,0.8217786779886672,0.7813950221657152,0.0,1.0,14666175.6231,0.015442110824200503,0.6627607238572448,0.5306796548509237,1.0,0.26666666666666666,45,0.26666666666666666,539.6017356828704,0.0019952043490033813,0.8217786779886672,0.21860497783428476,
universal,ADA/USDT,19,0.0012532844414158103,0.004610021111395496,0.6479042254611993,0.41960042724333124,0.0,1.0,19056297.17493,0.012224719775877897,0.9335681048207851,0.5654653132841089,1.0,0.3333333333333333,51,0.3333333333333333,539.6017356828704,0.004610021111395496,0.6479042254611993,0.5803995727566688,
universal,TAO/USDT,20,0.0012487491294374386,0.0034571114244713297,0.8232891090147721,0.4387422426537412,0.0,1.0,17120630.50158,0.01547005999782468,0.659959260790571,0.5636248749193499,1.0,0.16326530612244897,49,0.16326530612244897,539.6017356828704,0.0034571114244713297,0.8232891090147721,0.5612577573462588,
universal,AAVE/USDT,21,0.0007355310188677669,0.0019449008747396718,0.6545452209387498,0.5777818094202392,0.0,1.0,14581719.08692,0.012347605450517454,0.9263110833062204,0.5502565633245483,1.0,0.2857142857142857,49,0.2857142857142857,539.6017356828704,0.0019449008747396718,0.6545452209387498,0.4222181905797609,
universal,LTC/USDT,22,0.000689700966353538,0.002560161279471419,0.5379322390782757,0.5008018639273091,0.0,1.0,15614704.64891,0.010189786642163048,0.9994998616450217,0.557657995318569,1.0,0.27450980392156865,51,0.27450980392156865,539.6017356828704,0.002560161279471419,0.5379322390782757,0.499198136072691,
universal,LINK/USDT,23,0.000490338663769376,0.0029616450277819522,0.59302244106405,0.2791849523246063,0.0,1.0,16288771.9417,0.011209181499445569,0.9798975821256567,0.5789659150559626,1.0,0.3409090909090909,44,0.3409090909090909,539.6017356828704,0.0029616450277819522,0.59302244106405,0.7208150476753937,
universal,UNI/USDT,24,0.00046810054904244665,0.0012187332164490202,0.7127726284958236,0.5388643948176679,0.0,1.0,13362526.85412,0.013425051487689398,0.8496504530856867,0.553998376802326,1.0,0.3333333333333333,48,0.3333333333333333,539.6017356828704,0.0012187332164490202,0.7127726284958236,0.46113560518233215,
universal,OM/USDT,25,0.0001366223329314221,0.0003361054006583299,0.8604806896910018,0.47239476633448496,0.0,1.0,11880647.33886,0.016158256895075964,0.590536401633873,0.560389267725096,1.0,0.2926829268292683,41,0.2926829268292683,539.6017356828704,0.0003361054006583299,0.8604806896910018,0.527605233665515,
universal,USD1/USDT,26,0.0,0.1414373878978317,0.0,0.4988419690002067,0.0,1.0,248781293.7593,0.000235832248885137,0.2660283526130156,0.5578464343844255,1.0,0.32558139534883723,43,0.32558139534883723,274.60173568287036,0.1414373878978317,0.0,0.5011580309997933,
universal,PEPE/USDT,27,0.0,0.012228340624902191,0.9338624547512022,0.0,0.0,1.0,31847001.734425,0.017516120747889555,0.4562966655914177,0.6058088599963984,1.0,0.2916666666666667,48,0.2916666666666667,539.6017356828704,0.012228340624902191,0.9338624547512022,1.0,
universal,NEAR/USDT,28,0.0,0.0,0.7081067392512882,0.44413865625120763,0.0,1.0,11316346.3965,0.013338713385284955,0.8565697378628504,0.5631060230547831,1.0,0.28,50,0.28,539.6017356828704,0.0,0.7081067392512882,0.5558613437487924,
