feature,best_lag,best_corr,best_abs_corr,best_p,lead_lag,n_obs,n_effective
close,0,-0.022497442637688558,0.022497442637688558,0.21961395059265978,synchronous,2979,2979
high,0,-0.021352003809080713,0.021352003809080713,0.24400252105422168,synchronous,2979,2979
log_returns_1d,0,0.9980635396793285,0.9980635396793285,0.0,synchronous,2979,2979
low,0,-0.021922723449243252,0.021922723449243252,0.2316229838765642,synchronous,2979,2979
open,-1,-0.02224796972285091,0.02224796972285091,0.22484867511656462,target_leads,2978,2978
volume,-3,0.02224865878790913,0.02224865878790913,0.22499019105082618,target_leads,2976,2976
